1	35.3
2	35.7
3	35.38
4	35.16
5	35.1
6	35.28
7	35.11
8	35.04
9	35.25
10	34.85
11	34.63
12	34.89
13	34.7
14	35.35
15	35.14
16	34.91
17	34.84
18	35.72
19	35.5
20	36.09
21	36.74
22	36.6
23	36.14
24	35.69
25	35.7
26	35.91
27	36.35
28	36.45
29	36.66
30	36.75
31	36.76
32	36.72
33	37.12
34	37.06
35	37.06
36	36.75
37	37.22
38	36.99
39	36.73
40	36.14
41	36.43
42	36.69
43	37.09
44	36.31
45	36.27
46	36.19
47	36.47
48	36.81
49	36.96
50	36.69
51	36.47
52	36.78
53	36.2
54	35.33
55	34.35
56	34.31
57	33.4
58	33.52
59	33.43
60	32.71
61	32.71
62	33.12
63	33.61
64	34.09
65	34.22
66	33.97
67	33.72
68	33.87
69	33.92
70	33.97
71	33.99
72	33.73
73	33.89
74	33.52
75	33.32
76	33.19
77	33.38
78	33.18
79	32.84
80	32.61
81	32.67
82	32.65
83	32.6
84	32.4
85	31.98
86	32.13
87	32.16
88	32.1
89	32.16
90	32.06
91	31.61
92	31.43
93	31.64
94	31.4
95	31.42
96	30.67
97	30.7
98	31.02
99	31.07
100	30.73
101	30.98
102	31.42
103	31.02
104	31.08
105	30.98
106	30.55
107	30.87
108	31.08
109	31.25
110	31.36
111	31.66
112	31.95
113	32.45
114	32.62
115	32.72
116	32.71
117	32.81
118	32.9
119	32.54
120	32.15
121	31.78
122	32.77
123	32.56
124	31.9
125	31.7
126	31.31
127	30.86
128	31.45
129	31.69
130	31.17
131	31.35
132	31.49
133	31.02
134	31.04
135	31.22
136	31.18
137	31.16
138	31.4
139	31.94
140	32.27
141	32.33
142	33.03
143	32.69
144	32.2
145	32.26
146	32.7
147	32.94
148	32.9
149	34.06
150	34.01
151	33.82
152	33.16
153	33.16
154	33.66
155	34.01
156	33.95
157	33.9
158	33.76
159	33.95
160	33.96
161	33.63
162	33.5
163	33.33
164	33.03
165	33.38
166	33.02
167	33.05
168	33.3
169	33.15
170	33.99
171	33.97
172	33.56
173	33.47
174	33.37
175	33.55
176	33.74
177	33.02
178	32.66
179	32.7
180	32.43
181	32.43
182	32.02
183	32.66
184	32.9
185	31.55
186	30.96
187	30.92
188	30.98
189	30.65
190	30.85
191	31.01
192	30.56
193	30.62
194	30.76
195	30.62
196	31.13
197	31.06
198	31.19
199	31.17
200	31.61
201	31.56
202	31.52
203	31.46
204	31.49
205	31.51
206	31.85
207	31.12
208	31.33
209	31.68
210	32.09
211	32
212	31.78
213	31.46
214	30.97
215	30.76
216	31.09
217	31.07
218	30.92
219	31.05
220	30.79
221	29.89
222	30.04
223	30.25
224	29.87
225	29.57
226	29.84
227	29.59
228	29.56
229	29.62
230	29.17
231	28.97
232	28.69
233	28.77
234	28.93
235	28.97
236	28.79
237	28.83
238	28.55
239	28.42
240	27.97
241	27.56
242	27.75
243	27.42
244	27.3
245	27.17
246	26.43
247	26.19
248	25.49
249	25.13
250	25.37
